year type stratum sex age value 
2012 N 1 1 3 18.844
2012 N 1 1 4 1172.72
2012 N 1 1 5 2800.28
2012 N 1 1 6 519.467
2012 N 1 1 7 55.2664
2012 Biomass 1 1 3 18.844
2012 Biomass 1 1 4 1172.72
2012 Biomass 1 1 5 2800.28
2012 Biomass 1 1 6 519.467
2012 Biomass 1 1 7 55.2664
2012 N_Kimura   1 1 3 18.844
2012 N_Kimura   1 1 4 1172.72
2012 N_Kimura   1 1 5 2800.28
2012 N_Kimura   1 1 6 519.467
2012 N_Kimura   1 1 7 55.2664
2012 avg_wt_age 1 1 3 1
2012 avg_wt_age 1 1 4 1
2012 avg_wt_age 1 1 5 1
2012 avg_wt_age 1 1 6 1
2012 avg_wt_age 1 1 7 1
2012 N 1 2 3 34.0199
2012 N 1 2 4 1026.89
2012 N 1 2 5 1695.51
2012 N 1 2 6 430.792
2012 N 1 2 7 31.2341
2012 Biomass 1 2 3 34.0199
2012 Biomass 1 2 4 1026.89
2012 Biomass 1 2 5 1695.51
2012 Biomass 1 2 6 430.792
2012 Biomass 1 2 7 31.2341
2012 N_Kimura   1 2 3 34.0199
2012 N_Kimura   1 2 4 1026.89
2012 N_Kimura   1 2 5 1695.51
2012 N_Kimura   1 2 6 430.792
2012 N_Kimura   1 2 7 31.2341
2012 avg_wt_age 1 2 3 1
2012 avg_wt_age 1 2 4 1
2012 avg_wt_age 1 2 5 1
2012 avg_wt_age 1 2 6 1
2012 avg_wt_age 1 2 7 1
2012 p 1 1 3 0.00242055
2012 p 1 1 4 0.150639
2012 p 1 1 5 0.359701
2012 p 1 1 6 0.0667265
2012 p 1 1 7 0.00709907
2012 p 1 2 3 0.00436992
2012 p 1 2 4 0.131905
2012 p 1 2 5 0.217791
2012 p 1 2 6 0.055336
2012 p 1 2 7 0.00401208
2012 N 2 1 3 6.32928
2012 N 2 1 4 38.635
2012 N 2 1 5 11.9993
2012 N 2 1 6 0
2012 N 2 1 7 0
2012 Biomass 2 1 3 6.32928
2012 Biomass 2 1 4 38.635
2012 Biomass 2 1 5 11.9993
2012 Biomass 2 1 6 0
2012 Biomass 2 1 7 0
2012 N_Kimura   2 1 3 6.32928
2012 N_Kimura   2 1 4 38.635
2012 N_Kimura   2 1 5 11.9993
2012 N_Kimura   2 1 6 0
2012 N_Kimura   2 1 7 0
2012 avg_wt_age 2 1 3 1
2012 avg_wt_age 2 1 4 1
2012 avg_wt_age 2 1 5 1
2012 avg_wt_age 2 1 6 0
2012 avg_wt_age 2 1 7 0
2012 N 2 2 3 11.411
2012 N 2 2 4 58.2416
2012 N 2 2 5 33.5939
2012 N 2 2 6 1.18674
2012 N 2 2 7 0
2012 Biomass 2 2 3 11.411
2012 Biomass 2 2 4 58.2416
2012 Biomass 2 2 5 33.5939
2012 Biomass 2 2 6 1.18674
2012 Biomass 2 2 7 0
2012 N_Kimura   2 2 3 11.411
2012 N_Kimura   2 2 4 58.2416
2012 N_Kimura   2 2 5 33.5939
2012 N_Kimura   2 2 6 1.18674
2012 N_Kimura   2 2 7 0
2012 avg_wt_age 2 2 3 1
2012 avg_wt_age 2 2 4 1
2012 avg_wt_age 2 2 5 1
2012 avg_wt_age 2 2 6 1
2012 avg_wt_age 2 2 7 0
2012 p 2 1 3 0.0392157
2012 p 2 1 4 0.239379
2012 p 2 1 5 0.0743464
2012 p 2 1 6 0
2012 p 2 1 7 0
2012 p 2 2 3 0.0707014
2012 p 2 2 4 0.36086
2012 p 2 2 5 0.208145
2012 p 2 2 6 0.00735294
2012 p 2 2 7 0
2012 N 3 1 3 707.904
2012 N 3 1 4 1051.53
2012 N 3 1 5 82.3838
2012 N 3 1 6 0
2012 N 3 1 7 0
2012 Biomass 3 1 3 707.904
2012 Biomass 3 1 4 1051.53
2012 Biomass 3 1 5 82.3838
2012 Biomass 3 1 6 0
2012 Biomass 3 1 7 0
2012 N_Kimura   3 1 3 707.904
2012 N_Kimura   3 1 4 1051.53
2012 N_Kimura   3 1 5 82.3838
2012 N_Kimura   3 1 6 0
2012 N_Kimura   3 1 7 0
2012 avg_wt_age 3 1 3 1
2012 avg_wt_age 3 1 4 1
2012 avg_wt_age 3 1 5 1
2012 avg_wt_age 3 1 6 0
2012 avg_wt_age 3 1 7 0
2012 N 3 2 3 845.815
2012 N 3 2 4 650.398
2012 N 3 2 5 69.8537
2012 N 3 2 6 0.431542
2012 N 3 2 7 0
2012 Biomass 3 2 3 845.815
2012 Biomass 3 2 4 650.398
2012 Biomass 3 2 5 69.8537
2012 Biomass 3 2 6 0.431542
2012 Biomass 3 2 7 0
2012 N_Kimura   3 2 3 845.815
2012 N_Kimura   3 2 4 650.398
2012 N_Kimura   3 2 5 69.8537
2012 N_Kimura   3 2 6 0.431542
2012 N_Kimura   3 2 7 0
2012 avg_wt_age 3 2 3 1
2012 avg_wt_age 3 2 4 1
2012 avg_wt_age 3 2 5 1
2012 avg_wt_age 3 2 6 1
2012 avg_wt_age 3 2 7 0
2012 p 3 1 3 0.207699
2012 p 3 1 4 0.30852
2012 p 3 1 5 0.0241714
2012 p 3 1 6 0
2012 p 3 1 7 0
2012 p 3 2 3 0.248162
2012 p 3 2 4 0.190826
2012 p 3 2 5 0.0204951
2012 p 3 2 6 0.000126614
2012 p 3 2 7 0
2012 N  1 99 3 52.8639
2012 N  1 99 4 2199.61
2012 N  1 99 5 4495.79
2012 N  1 99 6 950.259
2012 N  1 99 7 86.5006
2012 a  1 99 3 1
2012 a  1 99 4 1
2012 a  1 99 5 1
2012 a  1 99 6 1
2012 a  1 99 7 1
2012 N  2 99 3 17.7403
2012 N  2 99 4 96.8766
2012 N  2 99 5 45.5932
2012 N  2 99 6 1.18674
2012 N  2 99 7 0
2012 a  2 99 3 1
2012 a  2 99 4 1
2012 a  2 99 5 1
2012 a  2 99 6 1
2012 a  2 99 7 0
2012 N  3 99 3 1553.72
2012 N  3 99 4 1701.93
2012 N  3 99 5 152.238
2012 N  3 99 6 0.431542
2012 N  3 99 7 0
2012 a  3 99 3 1
2012 a  3 99 4 1
2012 a  3 99 5 1
2012 a  3 99 6 1
2012 a  3 99 7 0
2012 N 99 1 3 733.077
2012 N 99 1 4 2262.89
2012 N 99 1 5 2894.66
2012 N 99 1 6 519.467
2012 N 99 1 7 55.2664
2012 a 99 1 3 1
2012 a 99 1 4 1
2012 a 99 1 5 1
2012 a 99 1 6 1
2012 a 99 1 7 1
2012 N 99 2 3 891.246
2012 N 99 2 4 1735.53
2012 N 99 2 5 1798.96
2012 N 99 2 6 432.41
2012 N 99 2 7 31.2341
2012 a 99 2 3 1
2012 a 99 2 4 1
2012 a 99 2 5 1
2012 a 99 2 6 1
2012 a 99 2 7 1
2012 N 99 99 3 1624.32
2012 N 99 99 4 3998.42
2012 N 99 99 5 4693.62
2012 N 99 99 6 951.877
2012 N 99 99 7 86.5006
2012 a 99 99 3 1
2012 a 99 99 4 1
2012 a 99 99 5 1
2012 a 99 99 6 1
2012 a 99 99 7 1
