year type stratum sex age value 
2015 N 1 1 3 479.06
2015 N 1 1 4 3287.38
2015 N 1 1 5 2379.31
2015 N 1 1 6 391.265
2015 N 1 1 7 39.7549
2015 Biomass 1 1 3 479.06
2015 Biomass 1 1 4 3287.38
2015 Biomass 1 1 5 2379.31
2015 Biomass 1 1 6 391.265
2015 Biomass 1 1 7 39.7549
2015 N_Kimura   1 1 3 479.06
2015 N_Kimura   1 1 4 3287.38
2015 N_Kimura   1 1 5 2379.31
2015 N_Kimura   1 1 6 391.265
2015 N_Kimura   1 1 7 39.7549
2015 avg_wt_age 1 1 3 1
2015 avg_wt_age 1 1 4 1
2015 avg_wt_age 1 1 5 1
2015 avg_wt_age 1 1 6 1
2015 avg_wt_age 1 1 7 1
2015 N 1 2 3 886.711
2015 N 1 2 4 2495.73
2015 N 1 2 5 1963.97
2015 N 1 2 6 510.839
2015 N 1 2 7 18.8652
2015 Biomass 1 2 3 886.711
2015 Biomass 1 2 4 2495.73
2015 Biomass 1 2 5 1963.97
2015 Biomass 1 2 6 510.839
2015 Biomass 1 2 7 18.8652
2015 N_Kimura   1 2 3 886.711
2015 N_Kimura   1 2 4 2495.73
2015 N_Kimura   1 2 5 1963.97
2015 N_Kimura   1 2 6 510.839
2015 N_Kimura   1 2 7 18.8652
2015 avg_wt_age 1 2 3 1
2015 avg_wt_age 1 2 4 1
2015 avg_wt_age 1 2 5 1
2015 avg_wt_age 1 2 6 1
2015 avg_wt_age 1 2 7 1
2015 p 1 1 3 0.0384698
2015 p 1 1 4 0.263985
2015 p 1 1 5 0.191065
2015 p 1 1 6 0.0314196
2015 p 1 1 7 0.00319243
2015 p 1 2 3 0.0712053
2015 p 1 2 4 0.200414
2015 p 1 2 5 0.157712
2015 p 1 2 6 0.0410217
2015 p 1 2 7 0.00151493
2015 N 2 1 3 250.403
2015 N 2 1 4 1073.6
2015 N 2 1 5 217.428
2015 N 2 1 6 0
2015 N 2 1 7 0
2015 Biomass 2 1 3 250.403
2015 Biomass 2 1 4 1073.6
2015 Biomass 2 1 5 217.428
2015 Biomass 2 1 6 0
2015 Biomass 2 1 7 0
2015 N_Kimura   2 1 3 250.403
2015 N_Kimura   2 1 4 1073.6
2015 N_Kimura   2 1 5 217.428
2015 N_Kimura   2 1 6 0
2015 N_Kimura   2 1 7 0
2015 avg_wt_age 2 1 3 1
2015 avg_wt_age 2 1 4 1
2015 avg_wt_age 2 1 5 1
2015 avg_wt_age 2 1 6 0
2015 avg_wt_age 2 1 7 0
2015 N 2 2 3 153.552
2015 N 2 2 4 871.175
2015 N 2 2 5 122.334
2015 N 2 2 6 2.00411
2015 N 2 2 7 0
2015 Biomass 2 2 3 153.552
2015 Biomass 2 2 4 871.175
2015 Biomass 2 2 5 122.334
2015 Biomass 2 2 6 2.00411
2015 Biomass 2 2 7 0
2015 N_Kimura   2 2 3 153.552
2015 N_Kimura   2 2 4 871.175
2015 N_Kimura   2 2 5 122.334
2015 N_Kimura   2 2 6 2.00411
2015 N_Kimura   2 2 7 0
2015 avg_wt_age 2 2 3 1
2015 avg_wt_age 2 2 4 1
2015 avg_wt_age 2 2 5 1
2015 avg_wt_age 2 2 6 1
2015 avg_wt_age 2 2 7 0
2015 p 2 1 3 0.0930694
2015 p 2 1 4 0.399034
2015 p 2 1 5 0.0808135
2015 p 2 1 6 0
2015 p 2 1 7 0
2015 p 2 2 3 0.0570722
2015 p 2 2 4 0.323797
2015 p 2 2 5 0.045469
2015 p 2 2 6 0.000744886
2015 p 2 2 7 0
2015 N 3 1 3 447.735
2015 N 3 1 4 1293.46
2015 N 3 1 5 105.406
2015 N 3 1 6 3.114
2015 N 3 1 7 0
2015 Biomass 3 1 3 447.735
2015 Biomass 3 1 4 1293.46
2015 Biomass 3 1 5 105.406
2015 Biomass 3 1 6 3.114
2015 Biomass 3 1 7 0
2015 N_Kimura   3 1 3 447.735
2015 N_Kimura   3 1 4 1293.46
2015 N_Kimura   3 1 5 105.406
2015 N_Kimura   3 1 6 3.114
2015 N_Kimura   3 1 7 0
2015 avg_wt_age 3 1 3 1
2015 avg_wt_age 3 1 4 1
2015 avg_wt_age 3 1 5 1
2015 avg_wt_age 3 1 6 1
2015 avg_wt_age 3 1 7 0
2015 N 3 2 3 399.004
2015 N 3 2 4 871.83
2015 N 3 2 5 63.4799
2015 N 3 2 6 1.59239
2015 N 3 2 7 0
2015 Biomass 3 2 3 399.004
2015 Biomass 3 2 4 871.83
2015 Biomass 3 2 5 63.4799
2015 Biomass 3 2 6 1.59239
2015 Biomass 3 2 7 0
2015 N_Kimura   3 2 3 399.004
2015 N_Kimura   3 2 4 871.83
2015 N_Kimura   3 2 5 63.4799
2015 N_Kimura   3 2 6 1.59239
2015 N_Kimura   3 2 7 0
2015 avg_wt_age 3 2 3 1
2015 avg_wt_age 3 2 4 1
2015 avg_wt_age 3 2 5 1
2015 avg_wt_age 3 2 6 1
2015 avg_wt_age 3 2 7 0
2015 p 3 1 3 0.140549
2015 p 3 1 4 0.406031
2015 p 3 1 5 0.0330881
2015 p 3 1 6 0.000977517
2015 p 3 1 7 0
2015 p 3 2 3 0.125251
2015 p 3 2 4 0.273677
2015 p 3 2 5 0.019927
2015 p 3 2 6 0.000499867
