year type stratum sex age value 
2009 N 1 1 3 32.0391
2009 N 1 1 4 1430.55
2009 N 1 1 5 2985.98
2009 N 1 1 6 725.574
2009 N 1 1 7 62.9926
2009 Biomass 1 1 3 32.0391
2009 Biomass 1 1 4 1430.55
2009 Biomass 1 1 5 2985.98
2009 Biomass 1 1 6 725.574
2009 Biomass 1 1 7 62.9926
2009 N_Kimura   1 1 3 32.0391
2009 N_Kimura   1 1 4 1430.55
2009 N_Kimura   1 1 5 2985.98
2009 N_Kimura   1 1 6 725.574
2009 N_Kimura   1 1 7 62.9926
2009 avg_wt_age 1 1 3 1
2009 avg_wt_age 1 1 4 1
2009 avg_wt_age 1 1 5 1
2009 avg_wt_age 1 1 6 1
2009 avg_wt_age 1 1 7 1
2009 N 1 2 3 24.246
2009 N 1 2 4 1313.16
2009 N 1 2 5 2487.02
2009 N 1 2 6 689.189
2009 N 1 2 7 50.8828
2009 Biomass 1 2 3 24.246
2009 Biomass 1 2 4 1313.16
2009 Biomass 1 2 5 2487.02
2009 Biomass 1 2 6 689.189
2009 Biomass 1 2 7 50.8828
2009 N_Kimura   1 2 3 24.246
2009 N_Kimura   1 2 4 1313.16
2009 N_Kimura   1 2 5 2487.02
2009 N_Kimura   1 2 6 689.189
2009 N_Kimura   1 2 7 50.8828
2009 avg_wt_age 1 2 3 1
2009 avg_wt_age 1 2 4 1
2009 avg_wt_age 1 2 5 1
2009 avg_wt_age 1 2 6 1
2009 avg_wt_age 1 2 7 1
2009 p 1 1 3 0.00326875
2009 p 1 1 4 0.14595
2009 p 1 1 5 0.304641
2009 p 1 1 6 0.0740258
2009 p 1 1 7 0.00642674
2009 p 1 2 3 0.00247367
2009 p 1 2 4 0.133974
2009 p 1 2 5 0.253735
2009 p 1 2 6 0.0703136
2009 p 1 2 7 0.00519126
2009 N 2 1 3 12.9906
2009 N 2 1 4 167.073
2009 N 2 1 5 124.407
2009 N 2 1 6 6.79952
2009 N 2 1 7 0.394512
2009 Biomass 2 1 3 12.9906
2009 Biomass 2 1 4 167.073
2009 Biomass 2 1 5 124.407
2009 Biomass 2 1 6 6.79952
2009 Biomass 2 1 7 0.394512
2009 N_Kimura   2 1 3 12.9906
2009 N_Kimura   2 1 4 167.073
2009 N_Kimura   2 1 5 124.407
2009 N_Kimura   2 1 6 6.79952
2009 N_Kimura   2 1 7 0.394512
2009 avg_wt_age 2 1 3 1
2009 avg_wt_age 2 1 4 1
2009 avg_wt_age 2 1 5 1
2009 avg_wt_age 2 1 6 1
2009 avg_wt_age 2 1 7 1
2009 N 2 2 3 14.1973
2009 N 2 2 4 114.13
2009 N 2 2 5 50.0993
2009 N 2 2 6 1.07647
2009 N 2 2 7 0
2009 Biomass 2 2 3 14.1973
2009 Biomass 2 2 4 114.13
2009 Biomass 2 2 5 50.0993
2009 Biomass 2 2 6 1.07647
2009 Biomass 2 2 7 0
2009 N_Kimura   2 2 3 14.1973
2009 N_Kimura   2 2 4 114.13
2009 N_Kimura   2 2 5 50.0993
2009 N_Kimura   2 2 6 1.07647
2009 N_Kimura   2 2 7 0
2009 avg_wt_age 2 2 3 1
2009 avg_wt_age 2 2 4 1
2009 avg_wt_age 2 2 5 1
2009 avg_wt_age 2 2 6 1
2009 avg_wt_age 2 2 7 0
2009 p 2 1 3 0.0264484
2009 p 2 1 4 0.340155
2009 p 2 1 5 0.253288
2009 p 2 1 6 0.0138436
2009 p 2 1 7 0.000803213
2009 p 2 2 3 0.0289052
2009 p 2 2 4 0.232364
2009 p 2 2 5 0.102001
2009 p 2 2 6 0.00219165
2009 p 2 2 7 0
2009 N 3 1 3 218.644
2009 N 3 1 4 940.421
2009 N 3 1 5 124.769
2009 N 3 1 6 5.16622
2009 N 3 1 7 1.05203
2009 Biomass 3 1 3 218.644
2009 Biomass 3 1 4 940.421
2009 Biomass 3 1 5 124.769
2009 Biomass 3 1 6 5.16622
2009 Biomass 3 1 7 1.05203
2009 N_Kimura   3 1 3 218.644
2009 N_Kimura   3 1 4 940.421
2009 N_Kimura   3 1 5 124.769
2009 N_Kimura   3 1 6 5.16622
2009 N_Kimura   3 1 7 1.05203
2009 avg_wt_age 3 1 3 1
2009 avg_wt_age 3 1 4 1
2009 avg_wt_age 3 1 5 1
2009 avg_wt_age 3 1 6 1
2009 avg_wt_age 3 1 7 1
2009 N 3 2 3 220.396
2009 N 3 2 4 666.219
2009 N 3 2 5 105.995
2009 N 3 2 6 3.53168
2009 N 3 2 7 0
2009 Biomass 3 2 3 220.396
2009 Biomass 3 2 4 666.219
2009 Biomass 3 2 5 105.995
2009 Biomass 3 2 6 3.53168
2009 Biomass 3 2 7 0
2009 N_Kimura   3 2 3 220.396
2009 N_Kimura   3 2 4 666.219
2009 N_Kimura   3 2 5 105.995
2009 N_Kimura   3 2 6 3.53168
2009 N_Kimura   3 2 7 0
2009 avg_wt_age 3 2 3 1
2009 avg_wt_age 3 2 4 1
2009 avg_wt_age 3 2 5 1
2009 avg_wt_age 3 2 6 1
2009 avg_wt_age 3 2 7 0
2009 p 3 1 3 0.0956369
2009 p 3 1 4 0.411348
2009 p 3 1 5 0.0545749
2009 p 3 1 6 0.00225975
2009 p 3 1 7 0.000460167
2009 p 3 2 3 0.096403
2009 p 3 2 4 0.29141
2009 p 3 2 5 0.0463629
2009 p 3 2 6 0.00154478
2009 p 3 2 7 0
2009 N  1 99 3 56.2851
2009 N  1 99 4 2743.72
2009 N  1 99 5 5473
2009 N  1 99 6 1414.76
2009 N  1 99 7 113.875
2009 a  1 99 3 1
2009 a  1 99 4 1
2009 a  1 99 5 1
2009 a  1 99 6 1
2009 a  1 99 7 1
2009 N  2 99 3 27.1878
2009 N  2 99 4 281.203
2009 N  2 99 5 174.506
2009 N  2 99 6 7.87599
2009 N  2 99 7 0.394512
2009 a  2 99 3 1
2009 a  2 99 4 1
2009 a  2 99 5 1
2009 a  2 99 6 1
2009 a  2 99 7 1
2009 N  3 99 3 439.041
2009 N  3 99 4 1606.64
2009 N  3 99 5 230.764
2009 N  3 99 6 8.6979
2009 N  3 99 7 1.05203
2009 a  3 99 3 1
2009 a  3 99 4 1
2009 a  3 99 5 1
2009 a  3 99 6 1
2009 a  3 99 7 1
2009 N 99 1 3 263.674
2009 N 99 1 4 2538.05
2009 N 99 1 5 3235.16
2009 N 99 1 6 737.54
2009 N 99 1 7 64.4391
2009 a 99 1 3 1
2009 a 99 1 4 1
2009 a 99 1 5 1
2009 a 99 1 6 1
2009 a 99 1 7 1
2009 N 99 2 3 258.839
2009 N 99 2 4 2093.51
2009 N 99 2 5 2643.11
2009 N 99 2 6 693.797
2009 N 99 2 7 50.8828
2009 a 99 2 3 1
2009 a 99 2 4 1
2009 a 99 2 5 1
2009 a 99 2 6 1
2009 a 99 2 7 1
2009 N 99 99 3 522.513
2009 N 99 99 4 4631.56
2009 N 99 99 5 5878.27
2009 N 99 99 6 1431.34
2009 N 99 99 7 115.322
2009 a 99 99 3 1
2009 a 99 99 4 1
2009 a 99 99 5 1
