year type stratum sex age value 
2013 N 1 1 3 78.4152
2013 N 1 1 4 1766.96
2013 N 1 1 5 1657.78
2013 N 1 1 6 276.134
2013 N 1 1 7 30.6536
2013 Biomass 1 1 3 78.4152
2013 Biomass 1 1 4 1766.96
2013 Biomass 1 1 5 1657.78
2013 Biomass 1 1 6 276.134
2013 Biomass 1 1 7 30.6536
2013 N_Kimura   1 1 3 78.4152
2013 N_Kimura   1 1 4 1766.96
2013 N_Kimura   1 1 5 1657.78
2013 N_Kimura   1 1 6 276.134
2013 N_Kimura   1 1 7 30.6536
2013 avg_wt_age 1 1 3 1
2013 avg_wt_age 1 1 4 1
2013 avg_wt_age 1 1 5 1
2013 avg_wt_age 1 1 6 1
2013 avg_wt_age 1 1 7 1
2013 N 1 2 3 301.182
2013 N 1 2 4 1941.14
2013 N 1 2 5 1652.2
2013 N 1 2 6 385.579
2013 N 1 2 7 26.3656
2013 Biomass 1 2 3 301.182
2013 Biomass 1 2 4 1941.14
2013 Biomass 1 2 5 1652.2
2013 Biomass 1 2 6 385.579
2013 Biomass 1 2 7 26.3656
2013 N_Kimura   1 2 3 301.182
2013 N_Kimura   1 2 4 1941.14
2013 N_Kimura   1 2 5 1652.2
2013 N_Kimura   1 2 6 385.579
2013 N_Kimura   1 2 7 26.3656
2013 avg_wt_age 1 2 3 1
2013 avg_wt_age 1 2 4 1
2013 avg_wt_age 1 2 5 1
2013 avg_wt_age 1 2 6 1
2013 avg_wt_age 1 2 7 1
2013 p 1 1 3 0.00966132
2013 p 1 1 4 0.217702
2013 p 1 1 5 0.20425
2013 p 1 1 6 0.0340217
2013 p 1 1 7 0.00377675
2013 p 1 2 3 0.0371078
2013 p 1 2 4 0.239163
2013 p 1 2 5 0.203563
2013 p 1 2 6 0.0475061
2013 p 1 2 7 0.00324843
2013 N 2 1 3 36.721
2013 N 2 1 4 201.555
2013 N 2 1 5 67.283
2013 N 2 1 6 0
2013 N 2 1 7 0
2013 Biomass 2 1 3 36.721
2013 Biomass 2 1 4 201.555
2013 Biomass 2 1 5 67.283
2013 Biomass 2 1 6 0
2013 Biomass 2 1 7 0
2013 N_Kimura   2 1 3 36.721
2013 N_Kimura   2 1 4 201.555
2013 N_Kimura   2 1 5 67.283
2013 N_Kimura   2 1 6 0
2013 N_Kimura   2 1 7 0
2013 avg_wt_age 2 1 3 1
2013 avg_wt_age 2 1 4 1
2013 avg_wt_age 2 1 5 1
2013 avg_wt_age 2 1 6 0
2013 avg_wt_age 2 1 7 0
2013 N 2 2 3 16.1318
2013 N 2 2 4 177.161
2013 N 2 2 5 44.8285
2013 N 2 2 6 0.596795
2013 N 2 2 7 0
2013 Biomass 2 2 3 16.1318
2013 Biomass 2 2 4 177.161
2013 Biomass 2 2 5 44.8285
2013 Biomass 2 2 6 0.596795
2013 Biomass 2 2 7 0
2013 N_Kimura   2 2 3 16.1318
2013 N_Kimura   2 2 4 177.161
2013 N_Kimura   2 2 5 44.8285
2013 N_Kimura   2 2 6 0.596795
2013 N_Kimura   2 2 7 0
2013 avg_wt_age 2 2 3 1
2013 avg_wt_age 2 2 4 1
2013 avg_wt_age 2 2 5 1
2013 avg_wt_age 2 2 6 1
2013 avg_wt_age 2 2 7 0
2013 p 2 1 3 0.0674674
2013 p 2 1 4 0.370317
2013 p 2 1 5 0.123619
2013 p 2 1 6 0
2013 p 2 1 7 0
2013 p 2 2 3 0.029639
2013 p 2 2 4 0.325498
2013 p 2 2 5 0.0823634
2013 p 2 2 6 0.00109649
2013 p 2 2 7 0
2013 N 3 1 3 761.387
2013 N 3 1 4 1679.86
2013 N 3 1 5 134.997
2013 N 3 1 6 1.90974
2013 N 3 1 7 0
2013 Biomass 3 1 3 761.387
2013 Biomass 3 1 4 1679.86
2013 Biomass 3 1 5 134.997
2013 Biomass 3 1 6 1.90974
2013 Biomass 3 1 7 0
2013 N_Kimura   3 1 3 761.387
2013 N_Kimura   3 1 4 1679.86
2013 N_Kimura   3 1 5 134.997
2013 N_Kimura   3 1 6 1.90974
2013 N_Kimura   3 1 7 0
2013 avg_wt_age 3 1 3 1
2013 avg_wt_age 3 1 4 1
2013 avg_wt_age 3 1 5 1
2013 avg_wt_age 3 1 6 1
2013 avg_wt_age 3 1 7 0
2013 N 3 2 3 735.642
2013 N 3 2 4 973.069
2013 N 3 2 5 84.9536
2013 N 3 2 6 1.495
2013 N 3 2 7 0
2013 Biomass 3 2 3 735.642
2013 Biomass 3 2 4 973.069
2013 Biomass 3 2 5 84.9536
2013 Biomass 3 2 6 1.495
2013 Biomass 3 2 7 0
2013 N_Kimura   3 2 3 735.642
2013 N_Kimura   3 2 4 973.069
2013 N_Kimura   3 2 5 84.9536
2013 N_Kimura   3 2 6 1.495
2013 N_Kimura   3 2 7 0
2013 avg_wt_age 3 2 3 1
2013 avg_wt_age 3 2 4 1
2013 avg_wt_age 3 2 5 1
2013 avg_wt_age 3 2 6 1
2013 avg_wt_age 3 2 7 0
2013 p 3 1 3 0.174099
2013 p 3 1 4 0.384116
2013 p 3 1 5 0.0308683
2013 p 3 1 6 0.000436681
2013 p 3 1 7 0
2013 p 3 2 3 0.168212
2013 p 3 2 4 0.222502
2013 p 3 2 5 0.0194255
2013 p 3 2 6 0.000341846
2013 p 3 2 7 0
2013 N  1 99 3 379.598
2013 N  1 99 4 3708.1
2013 N  1 99 5 3309.98
2013 N  1 99 6 661.713
2013 N  1 99 7 57.0192
2013 a  1 99 3 1
2013 a  1 99 4 1
2013 a  1 99 5 1
2013 a  1 99 6 1
2013 a  1 99 7 1
2013 N  2 99 3 52.8528
2013 N  2 99 4 378.716
2013 N  2 99 5 112.112
2013 N  2 99 6 0.596795
2013 N  2 99 7 0
2013 a  2 99 3 1
2013 a  2 99 4 1
2013 a  2 99 5 1
2013 a  2 99 6 1
2013 a  2 99 7 0
2013 N  3 99 3 1497.03
2013 N  3 99 4 2652.93
2013 N  3 99 5 219.95
2013 N  3 99 6 3.40474
2013 N  3 99 7 0
2013 a  3 99 3 1
2013 a  3 99 4 1
2013 a  3 99 5 1
2013 a  3 99 6 1
2013 a  3 99 7 0
2013 N 99 1 3 876.524
2013 N 99 1 4 3648.37
2013 N 99 1 5 1860.06
2013 N 99 1 6 278.044
2013 N 99 1 7 30.6536
2013 a 99 1 3 1
2013 a 99 1 4 1
2013 a 99 1 5 1
2013 a 99 1 6 1
2013 a 99 1 7 1
2013 N 99 2 3 1052.96
2013 N 99 2 4 3091.37
2013 N 99 2 5 1781.98
2013 N 99 2 6 387.671
2013 N 99 2 7 26.3656
2013 a 99 2 3 1
2013 a 99 2 4 1
2013 a 99 2 5 1
2013 a 99 2 6 1
2013 a 99 2 7 1
2013 N 99 99 3 1929.48
2013 N 99 99 4 6739.75
2013 N 99 99 5 3642.04
2013 N 99 99 6 665.715
2013 N 99 99 7 57.0192
2013 a 99 99 3 1
2013 a 99 99 4 1
2013 a 99 99 5 1
2013 a 99 99 6 1
2013 a 99 99 7 1
