"T_TABLE","CRUISE","PERMIT","HAUL_JOIN","PORT_JOIN","LENGTH_SEQ","VESSEL","HAUL_OFFLOAD_DATE","HAUL_OFFLOAD","GEAR","NMFS_AREA","LATDD_START","LONDD_START","LATDD_END","LONDD_END","SPECIES","SEX","LENGTH","FREQUENCY","EGGS","YEAR","VIABILITY","INJURY","SAMPLE_SYSTEM"
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001550,"",10785,"A110",19-SEP-09 12.00.00.000000000 AM,677,1,543,52.035,176.88,52.04167,176.98333,204,"F",37,2,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001550,"",10786,"A110",19-SEP-09 12.00.00.000000000 AM,677,1,543,52.035,176.88,52.04167,176.98333,204,"F",38,1,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001550,"",10787,"A110",19-SEP-09 12.00.00.000000000 AM,677,1,543,52.035,176.88,52.04167,176.98333,204,"F",39,4,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001550,"",10788,"A110",19-SEP-09 12.00.00.000000000 AM,677,1,543,52.035,176.88,52.04167,176.98333,204,"F",40,5,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001562,"",10789,"A110",23-SEP-09 12.00.00.000000000 AM,678,1,542,52.635,-179.44833,52.72667,-179.36333,204,"M",24,1,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001562,"",10790,"A110",23-SEP-09 12.00.00.000000000 AM,678,1,542,52.635,-179.44833,52.72667,-179.36333,204,"M",27,1,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001562,"",10791,"A110",23-SEP-09 12.00.00.000000000 AM,678,1,542,52.635,-179.44833,52.72667,-179.36333,204,"M",28,1,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001562,"",10792,"A110",23-SEP-09 12.00.00.000000000 AM,678,1,542,52.635,-179.44833,52.72667,-179.36333,204,"M",35,1,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001562,"",10793,"A110",23-SEP-09 12.00.00.000000000 AM,678,1,542,52.635,-179.44833,52.72667,-179.36333,204,"F",25,1,"",2009,"","",2
"ATL_HAUL_SAMPLE",13103,"2134",13103002134000001562,"",10794,"A110",23-SEP-09 12.00.00.000000000 AM,678,1,542,52.635,-179.44833,52.72667,-179.36333,204,"F",26,1,"",2009,"","",2
